timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777317180.1427932,-6.87,0.27,0.16,0.043,0.036,9.779,0.0,0.0,0.0
1777317180.1527274,-6.87,0.27,0.16,0.042,0.032,9.774,-0.01,0.0,0.0
1777317180.1627605,-6.87,0.27,0.16,0.043,0.031,9.778,-0.01,0.0,0.0
1777317180.172801,-6.87,0.27,0.16,0.044,0.029,9.781,-0.01,-0.01,0.0
1777317180.1826937,-6.87,0.27,0.16,0.046,0.03,9.78,-0.01,-0.01,0.0
1777317180.1927326,-6.87,0.27,0.16,0.04,0.032,9.774,-0.01,-0.01,0.0
1777317180.202704,-6.87,0.27,0.16,0.038,0.025,9.767,-0.01,-0.01,0.0
1777317180.2127194,-6.87,0.26,0.16,-0.034,0.02,9.776,0.0,-0.01,0.0
1777317180.2227044,-6.87,0.23,0.15,-0.107,-0.017,9.684,-0.01,0.0,-0.01
1777317180.2327192,-6.87,0.18,0.12,-0.128,-0.046,9.584,-0.01,0.01,-0.01
1777317180.2427273,-6.88,0.16,0.09,-0.162,-0.037,9.635,-0.02,0.01,0.0
1777317180.2527285,-6.89,0.16,0.06,-0.159,0.004,9.681,-0.02,0.0,0.0
1777317180.262701,-6.92,0.17,0.05,-0.172,0.043,9.715,-0.02,-0.01,0.01
1777317180.2727222,-6.94,0.19,0.04,-0.147,0.069,9.671,-0.02,-0.02,0.01
1777317180.2828388,-6.96,0.23,0.04,-0.138,0.079,9.627,-0.01,-0.02,0.01
1777317180.2928455,-6.99,0.27,0.03,-0.092,0.089,9.616,-0.01,-0.02,0.01
1777317180.3027294,-7.01,0.31,0.02,-0.053,0.066,9.667,-0.01,-0.03,0.01
1777317180.3127058,-7.03,0.36,0.01,-0.006,0.057,9.705,-0.01,-0.03,0.01
1777317180.322817,-7.06,0.4,0.0,0.074,0.05,9.733,-0.01,-0.02,0.01
1777317180.332733,-7.08,0.46,0.01,0.141,0.031,9.753,-0.01,-0.02,0.01
1777317180.3428524,-7.11,0.5,0.0,0.202,0.05,9.761,-0.01,-0.02,0.02
1777317180.3528426,-7.13,0.53,0.0,0.25,0.078,9.769,-0.01,-0.02,0.01
1777317180.362716,-7.14,0.55,0.01,0.274,0.075,9.78,-0.01,-0.02,0.01
1777317180.3727,-7.15,0.55,0.01,0.299,0.101,9.788,-0.01,-0.01,0.0
1777317180.3827138,-7.15,0.56,0.03,0.29,0.129,9.794,0.0,0.0,0.0
1777317180.3926787,-7.13,0.54,0.05,0.254,0.138,9.784,0.0,0.0,-0.01
1777317180.402899,-7.12,0.52,0.06,0.193,0.147,9.77,0.0,0.01,-0.01
1777317180.4127302,-7.1,0.49,0.07,0.133,0.159,9.77,0.0,0.01,-0.02
1777317180.4228802,-7.09,0.45,0.09,0.065,0.154,9.78,0.0,0.01,-0.02
1777317180.432691,-7.08,0.41,0.09,0.008,0.14,9.772,0.0,0.01,-0.01
1777317180.4426758,-7.07,0.38,0.1,-0.048,0.113,9.767,0.0,0.01,-0.01
1777317180.4526694,-7.06,0.35,0.09,-0.084,0.087,9.726,-0.01,0.01,-0.01
1777317180.462706,-7.06,0.33,0.08,-0.114,0.093,9.701,-0.01,0.01,-0.01
1777317180.4726784,-7.07,0.31,0.09,-0.133,0.077,9.701,-0.01,0.0,0.0
1777317180.4826913,-7.08,0.31,0.08,-0.145,0.057,9.723,-0.01,0.0,0.0
1777317180.4926805,-7.09,0.31,0.07,-0.137,0.043,9.73,-0.01,-0.01,0.0
1777317180.5018234,-7.1,0.3,0.06,-0.116,0.036,9.721,-0.01,-0.01,0.0
1777317180.5126905,-7.11,0.31,0.05,-0.097,0.029,9.718,-0.01,-0.01,0.0
1777317180.5226767,-7.12,0.33,0.05,-0.069,0.016,9.739,-0.01,-0.01,0.0
1777317180.532664,-7.13,0.34,0.04,-0.035,0.008,9.757,-0.01,-0.02,0.0
1777317180.5427158,-7.13,0.35,0.04,-0.01,0.012,9.77,-0.01,-0.02,0.0
1777317180.5527008,-7.13,0.37,0.05,0.017,0.035,9.781,0.0,-0.02,0.0
1777317180.5618508,-7.13,0.38,0.06,0.056,0.051,9.782,0.0,-0.01,0.0
1777317180.5726967,-7.12,0.39,0.07,0.073,0.062,9.788,0.0,-0.01,-0.01
1777317180.5826824,-7.11,0.39,0.09,0.089,0.09,9.793,0.0,-0.01,-0.01
1777317180.5918338,-7.1,0.39,0.09,0.096,0.101,9.798,0.0,0.0,-0.01
1777317180.6018603,-7.09,0.39,0.11,0.083,0.102,9.8,0.0,0.0,-0.01
1777317180.6126976,-7.08,0.38,0.12,0.071,0.108,9.798,0.0,0.0,-0.01
1777317180.6218214,-7.08,0.37,0.12,0.067,0.092,9.781,0.0,0.0,-0.01
1777317180.6326735,-7.09,0.36,0.12,0.026,0.081,9.782,0.0,0.0,0.0
1777317180.6418173,-7.1,0.34,0.12,0.001,0.095,9.784,-0.01,0.0,0.0
1777317180.6527774,-7.11,0.33,0.12,-0.024,0.102,9.782,-0.01,0.0,0.0
1777317180.6618242,-7.12,0.32,0.12,-0.051,0.105,9.778,-0.01,0.0,0.0
1777317180.67274,-7.12,0.31,0.12,-0.065,0.104,9.759,-0.01,0.0,0.0
1777317180.6818233,-7.12,0.3,0.11,-0.066,0.091,9.756,-0.01,0.0,0.0
1777317180.6919577,-7.11,0.3,0.11,-0.069,0.085,9.766,-0.01,-0.01,-0.01
1777317180.7018156,-7.1,0.3,0.11,-0.05,0.05,9.767,-0.01,-0.01,-0.01
1777317180.711967,-7.1,0.3,0.1,-0.029,0.006,9.772,-0.01,-0.01,-0.01
1777317180.721816,-7.1,0.31,0.1,-0.002,-0.011,9.781,-0.01,-0.01,-0.01
1777317180.7319634,-7.1,0.31,0.1,0.031,-0.031,9.782,0.0,-0.01,0.0
1777317180.741819,-7.11,0.32,0.1,0.044,-0.025,9.79,0.0,-0.01,0.0
1777317180.7519348,-7.12,0.32,0.11,0.061,0.012,9.794,0.0,-0.01,0.0
1777317180.7618408,-7.13,0.33,0.11,0.062,0.054,9.798,0.0,0.0,0.0
1777317180.7719746,-7.13,0.32,0.12,0.06,0.073,9.8,0.0,0.0,0.0
1777317180.781842,-7.13,0.32,0.13,0.038,0.084,9.802,0.0,0.0,0.0
1777317180.7918348,-7.13,0.32,0.14,0.03,0.086,9.785,0.0,0.0,0.0
1777317180.8018417,-7.13,0.31,0.15,0.008,0.126,9.78,0.0,0.0,0.0
1777317180.8118362,-7.13,0.3,0.16,0.002,0.154,9.784,0.0,-0.01,-0.01
1777317180.8218396,-7.11,0.3,0.16,-0.002,0.152,9.788,0.0,0.0,-0.01
1777317180.8318374,-7.1,0.3,0.17,0.0,0.159,9.794,-0.01,-0.01,-0.01
1777317180.8417902,-7.09,0.29,0.17,0.0,0.126,9.78,-0.01,0.0,-0.01
1777317180.851787,-7.08,0.29,0.16,0.0,0.078,9.773,-0.01,0.0,-0.01
1777317180.8618007,-7.08,0.29,0.15,0.0,0.035,9.763,-0.01,0.0,-0.01
1777317180.871909,-7.09,0.29,0.14,0.004,-0.023,9.762,-0.01,0.0,0.0
1777317180.8817618,-7.1,0.28,0.12,0.0,-0.022,9.766,-0.01,-0.01,0.0
1777317180.8918145,-7.13,0.28,0.12,0.007,0.002,9.773,-0.01,-0.01,0.01
1777317180.9017773,-7.13,0.28,0.13,0.004,0.032,9.77,-0.01,-0.01,0.01
1777317180.9118137,-7.13,0.28,0.13,0.002,0.049,9.764,0.0,0.0,0.0
1777317180.9217696,-7.13,0.28,0.14,0.01,0.055,9.767,0.0,-0.01,-0.01
1777317180.931803,-7.11,0.28,0.14,0.011,0.053,9.775,0.0,0.0,-0.01
1777317180.9417856,-7.1,0.28,0.15,0.016,0.044,9.781,0.0,-0.01,-0.01
1777317180.9518158,-7.1,0.28,0.15,0.004,0.004,9.786,0.0,-0.01,-0.01
1777317180.9617636,-7.1,0.28,0.15,0.019,0.01,9.766,0.0,-0.01,-0.01
1777317180.971785,-7.1,0.28,0.15,0.007,0.031,9.768,0.0,-0.01,0.0
1777317180.98177,-7.11,0.28,0.17,0.016,0.086,9.77,0.0,-0.01,0.0
