timestamp,action_type,parameter
1777734000.4068332,SYSTEM_START,0
1777734016.0231404,TURN_LEFT,15
1777734091.7586763,TURN_RIGHT,15
1777734096.0000165,TURN_LEFT,15
1777734100.2461545,TURN_LEFT,15
1777734104.4928532,FORWARD,30
1777734108.7465768,FORWARD,30
1777734112.982243,FORWARD,30
1777734117.2392738,TURN_LEFT,15
1777734121.4738595,FORWARD,30
1777734125.7093284,TURN_LEFT,15
1777734129.950835,FORWARD,30
1777734134.2044652,FORWARD,30
1777734138.4579253,TURN_RIGHT,15
1777734142.698804,FORWARD,30
1777734146.935065,FORWARD,30
1777734151.1783404,FORWARD,30
1777734155.4118567,FORWARD,30
1777734159.6441429,FORWARD,30
1777734163.873478,FORWARD,30
1777734168.1190436,FORWARD,30
1777734172.3739626,FORWARD,30
1777734176.5864916,FORWARD,30
1777734180.819335,TURN_RIGHT,15
1777734185.046217,TURN_LEFT,15
1777734189.3123693,FORWARD,30
1777734193.5624092,TURN_LEFT,15
1777734197.8097467,FORWARD,30
1777734202.0619833,FORWARD,30
1777734206.3180585,FORWARD,30
1777734210.5651782,FORWARD,30
1777734214.8109093,FORWARD,30
1777734219.0441139,TURN_RIGHT,15
1777734223.3072433,FORWARD,30
1777734227.5456402,TURN_LEFT,15
1777734231.803824,FORWARD,30
1777734236.0612433,FORWARD,15
1777734240.3044348,FORWARD,15
1777734244.5324566,FORWARD,15
1777734248.7770305,FORWARD,15
1777734253.0054457,FORWARD,15
1777734257.2455597,FORWARD,15
1777734261.4950306,FORWARD,15
1777734265.7524576,FORWARD,15
1777734269.9917877,GRAB,0
1777734291.224496,SYSTEM_STOP,0
