timestamp,action_type,parameter
1777317993.0827663,SYSTEM_START,0
1777318016.0494292,FORWARD,30
1777318020.2936082,TURN_LEFT,15
1777318024.525876,FORWARD,30
1777318028.7786148,TURN_LEFT,15
1777318033.0108042,FORWARD,30
1777318037.246097,FORWARD,30
1777318041.487706,FORWARD,30
1777318045.7243743,FORWARD,30
1777318049.9437976,FORWARD,30
1777318054.1740775,FORWARD,30
1777318058.399103,FORWARD,30
1777318062.6209748,FORWARD,30
1777318066.8591998,FORWARD,30
1777318071.0924568,FORWARD,30
1777318075.311119,FORWARD,30
1777318079.5354633,FORWARD,30
1777318083.7626433,FORWARD,30
1777318088.0004022,FORWARD,30
1777318092.2270436,FORWARD,30
1777318096.4587722,FORWARD,30
1777318100.6883001,FORWARD,30
1777318104.9170735,FORWARD,30
1777318109.158083,FORWARD,30
1777318113.376614,FORWARD,30
1777318117.6224017,FORWARD,30
1777318121.861234,FORWARD,30
1777318126.1061199,FORWARD,30
1777318130.1377592,SYSTEM_STOP,0
