timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777317640.9399562,-14.23,0.44,0.13,0.078,0.011,9.784,0.0,0.0,0.0
1777317640.9499338,-14.23,0.44,0.13,0.08,0.019,9.781,0.0,0.0,0.0
1777317640.959932,-14.24,0.44,0.13,0.078,0.023,9.787,0.0,0.0,0.0
1777317640.9698951,-14.24,0.44,0.13,0.077,0.025,9.782,0.0,0.0,0.0
1777317640.9799879,-14.23,0.44,0.13,0.078,0.02,9.782,-0.01,-0.01,-0.01
1777317640.9899144,-14.23,0.44,0.13,0.073,0.018,9.786,0.0,0.0,-0.01
1777317640.999893,-14.23,0.43,0.13,-0.002,0.023,9.776,0.0,0.0,-0.01
1777317641.010022,-14.23,0.39,0.13,-0.123,0.0,9.675,-0.01,0.0,-0.01
1777317641.0199916,-14.23,0.3,0.12,-0.187,0.041,9.457,0.0,0.02,-0.01
1777317641.0299516,-14.24,0.22,0.16,-0.099,0.073,9.35,-0.01,0.03,0.0
1777317641.0406356,-14.24,0.21,0.2,-0.038,0.127,9.453,0.02,0.03,0.0
1777317641.049922,-14.24,0.22,0.26,-0.05,0.042,9.548,0.02,0.0,-0.01
1777317641.0600605,-14.22,0.25,0.26,-0.072,-0.121,9.618,0.02,-0.02,-0.01
1777317641.0699058,-14.17,0.29,0.2,-0.093,-0.164,9.533,0.0,-0.02,-0.02
1777317641.0800447,-14.13,0.34,0.14,-0.097,-0.071,9.365,-0.03,-0.04,-0.03
1777317641.089961,-14.09,0.38,0.15,-0.084,0.078,9.318,-0.03,-0.03,-0.03
1777317641.1000743,-14.07,0.43,0.24,-0.024,0.053,9.405,0.01,-0.02,-0.02
1777317641.1099167,-14.06,0.48,0.29,-0.004,-0.098,9.514,0.04,-0.03,-0.02
1777317641.1200755,-14.04,0.53,0.29,0.047,-0.224,9.592,0.03,-0.03,-0.02
1777317641.1300762,-14.03,0.59,0.27,0.114,-0.265,9.648,0.01,-0.03,-0.02
1777317641.1400611,-14.03,0.66,0.24,0.207,-0.216,9.67,-0.01,-0.03,-0.01
1777317641.1499183,-14.06,0.71,0.25,0.28,-0.126,9.64,-0.02,-0.03,0.0
1777317641.160257,-14.09,0.75,0.29,0.35,-0.102,9.62,0.01,-0.02,0.01
1777317641.1700172,-14.12,0.78,0.32,0.326,-0.108,9.67,0.02,-0.02,0.02
1777317641.1799352,-14.16,0.77,0.33,0.307,-0.074,9.707,0.02,-0.01,0.02
1777317641.1892445,-14.19,0.77,0.33,0.298,0.034,9.735,0.0,0.0,0.02
1777317641.2000785,-14.21,0.76,0.35,0.243,0.135,9.742,0.0,0.0,0.01
1777317641.2091372,-14.21,0.74,0.37,0.211,0.222,9.675,0.0,0.01,0.0
1777317641.2190483,-14.18,0.71,0.38,0.159,0.254,9.677,0.0,0.01,-0.01
1777317641.2290518,-14.16,0.68,0.4,0.079,0.238,9.713,0.0,0.01,-0.02
1777317641.2390518,-14.13,0.63,0.4,0.04,0.206,9.738,-0.01,0.01,-0.02
1777317641.249053,-14.1,0.61,0.4,0.008,0.148,9.738,-0.01,0.01,-0.02
1777317641.2590556,-14.07,0.57,0.37,-0.022,0.092,9.693,-0.01,0.01,-0.02
1777317641.2691247,-14.05,0.55,0.34,-0.054,0.036,9.679,-0.02,0.01,-0.02
1777317641.2790835,-14.04,0.53,0.32,-0.084,-0.004,9.677,-0.02,0.0,-0.02
1777317641.2890973,-14.04,0.52,0.3,-0.09,-0.093,9.673,-0.02,0.0,-0.01
1777317641.3000956,-14.06,0.5,0.26,-0.087,-0.176,9.688,-0.01,0.0,0.0
1777317641.309923,-14.09,0.5,0.23,-0.079,-0.216,9.719,-0.01,-0.01,0.01
1777317641.3190885,-14.11,0.5,0.2,-0.074,-0.226,9.738,-0.02,-0.01,0.01
1777317641.3290577,-14.14,0.51,0.18,-0.05,-0.204,9.731,-0.02,-0.01,0.02
1777317641.339039,-14.16,0.51,0.17,-0.024,-0.163,9.724,-0.01,-0.01,0.01
1777317641.3499331,-14.17,0.52,0.17,0.007,-0.127,9.737,0.0,-0.01,0.01
1777317641.359053,-14.17,0.53,0.17,0.036,-0.093,9.756,0.0,-0.01,0.0
1777317641.3690584,-14.16,0.54,0.18,0.053,-0.05,9.77,0.0,-0.01,-0.01
1777317641.3790395,-14.14,0.55,0.19,0.067,-0.038,9.78,0.0,-0.01,-0.02
1777317641.389045,-14.11,0.55,0.21,0.085,-0.025,9.76,0.0,-0.01,-0.02
1777317641.3990288,-14.08,0.55,0.21,0.09,-0.022,9.755,0.0,-0.01,-0.02
1777317641.4092312,-14.06,0.54,0.22,0.091,-0.013,9.755,0.0,0.0,-0.02
1777317641.4190435,-14.05,0.54,0.23,0.078,-0.03,9.769,0.0,0.0,-0.02
1777317641.4292717,-14.05,0.54,0.23,0.061,-0.024,9.779,0.0,0.0,-0.01
1777317641.439063,-14.06,0.53,0.23,0.044,-0.011,9.774,0.0,0.0,0.0
1777317641.449241,-14.08,0.52,0.22,0.036,0.014,9.745,-0.01,0.0,0.0
1777317641.4590323,-14.09,0.51,0.23,0.023,0.037,9.726,-0.01,0.0,0.01
1777317641.4692354,-14.1,0.51,0.23,0.022,0.054,9.721,-0.01,0.0,0.01
1777317641.4790626,-14.12,0.51,0.22,0.001,0.062,9.745,-0.01,-0.01,0.01
1777317641.4890287,-14.12,0.5,0.22,0.004,0.065,9.761,-0.01,-0.01,0.0
1777317641.4990315,-14.12,0.5,0.21,0.014,0.031,9.769,-0.01,0.0,0.0
1777317641.5090322,-14.12,0.5,0.2,0.017,0.011,9.761,-0.01,-0.01,-0.01
1777317641.5190456,-14.11,0.5,0.19,0.038,-0.024,9.739,-0.01,-0.01,-0.01
1777317641.5292432,-14.1,0.49,0.18,0.042,-0.051,9.757,-0.01,0.0,-0.01
1777317641.5390363,-14.1,0.49,0.17,0.042,-0.092,9.77,-0.01,0.0,-0.01
1777317641.5490382,-14.1,0.48,0.16,0.048,-0.127,9.776,0.0,0.0,-0.01
1777317641.559047,-14.1,0.48,0.15,0.042,-0.123,9.77,0.0,0.0,-0.01
1777317641.5692253,-14.1,0.48,0.15,0.037,-0.114,9.747,0.0,-0.01,0.0
1777317641.5792289,-14.11,0.48,0.15,0.028,-0.096,9.745,0.0,0.0,0.0
1777317641.589203,-14.11,0.48,0.15,0.017,-0.077,9.76,0.0,-0.01,0.0
1777317641.5990126,-14.12,0.47,0.15,0.016,-0.041,9.762,0.0,0.0,0.0
1777317641.6092613,-14.12,0.47,0.15,0.007,-0.012,9.757,0.0,-0.01,0.0
1777317641.6190283,-14.12,0.46,0.16,0.002,0.017,9.748,0.0,-0.01,0.0
1777317641.6290152,-14.12,0.46,0.17,0.014,0.038,9.742,0.0,-0.01,-0.01
1777317641.6390247,-14.11,0.47,0.17,0.014,0.047,9.757,0.0,-0.01,-0.01
1777317641.6490238,-14.1,0.47,0.17,0.028,0.038,9.772,0.0,-0.01,-0.01
1777317641.6591332,-14.1,0.46,0.17,0.038,0.036,9.779,-0.01,-0.01,-0.01
1777317641.6690366,-14.1,0.47,0.17,0.041,0.032,9.773,-0.01,-0.01,-0.01
