timestamp,action_type,parameter
1777319392.273732,SYSTEM_START,0
1777319415.2415428,FORWARD,30
1777319419.4952033,FORWARD,30
1777319423.7554555,TURN_LEFT,15
1777319427.9777453,FORWARD,30
1777319432.2299194,FORWARD,30
1777319436.48511,FORWARD,30
1777319440.6862328,TURN_LEFT,15
1777319444.900744,FORWARD,30
1777319449.148326,FORWARD,30
1777319453.377448,FORWARD,30
1777319457.637288,TURN_LEFT,15
1777319461.8655047,TURN_LEFT,15
1777319466.1250331,FORWARD,15
1777319470.345974,FORWARD,15
1777319474.5892248,FORWARD,15
1777319478.852107,FORWARD,15
1777319483.081024,FORWARD,15
1777319487.3144193,FORWARD,15
1777319491.5394094,FORWARD,15
1777319495.7912996,TURN_LEFT,15
1777319500.0405397,BACKWARD,15
1777319504.2950928,FORWARD,15
1777319508.4952257,FORWARD,15
1777319512.746632,BACKWARD,15
1777319517.004048,FORWARD,15
1777319521.2503977,FORWARD,15
1777319525.49014,GRAB,0
1777319547.2008882,TURN_RIGHT,30
1777319551.458112,TURN_RIGHT,30
1777319555.7106028,TURN_RIGHT,30
1777319559.9640799,TURN_RIGHT,30
1777319564.1999648,FORWARD,30
1777319568.4501724,FORWARD,30
1777319572.6810424,FORWARD,30
1777319576.9150162,TURN_LEFT,15
1777319581.1520128,FORWARD,30
1777319585.3802965,FORWARD,30
1777319589.6334546,FORWARD,30
1777319593.8690152,FORWARD,30
1777319598.0792444,FORWARD,30
1777319602.319374,FORWARD,15
1777319606.5732799,FORWARD,15
1777319610.832676,FORWARD,15
1777319615.0747483,TURN_LEFT,15
1777319619.3320308,TURN_RIGHT,15
1777319623.5748665,TURN_LEFT,15
1777319627.8075335,FORWARD,15
1777319632.0540135,FORWARD,15
1777319636.30067,FORWARD,15
1777319640.5365493,GRAB,0
1777319661.7918978,SYSTEM_STOP,0
