timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777317664.7178469,-14.99,0.53,0.88,0.083,0.152,9.788,-0.01,-0.01,0.0
1777317664.7278168,-14.99,0.52,0.88,0.081,0.154,9.779,-0.01,-0.01,0.0
1777317664.7378042,-14.99,0.52,0.88,0.075,0.16,9.776,0.0,0.0,-0.01
1777317664.7483144,-14.98,0.52,0.89,0.073,0.157,9.773,0.0,0.0,-0.01
1777317664.757904,-14.98,0.52,0.88,0.072,0.158,9.779,0.0,0.0,-0.01
1777317664.7679038,-14.97,0.51,0.89,0.069,0.162,9.78,-0.01,-0.01,-0.01
1777317664.7778685,-14.97,0.52,0.89,0.08,0.143,9.773,0.0,0.0,-0.01
1777317664.7878807,-14.97,0.52,0.88,0.089,0.139,9.782,-0.01,-0.01,-0.01
1777317664.7978866,-14.97,0.53,0.88,0.101,0.135,9.786,-0.01,-0.01,0.0
1777317664.8078523,-14.98,0.52,0.88,0.109,0.132,9.788,-0.01,-0.01,0.0
1777317664.8178673,-14.99,0.52,0.88,0.115,0.144,9.791,-0.01,-0.01,0.0
1777317664.8284545,-14.99,0.52,0.88,0.122,0.146,9.796,-0.01,0.0,0.0
1777317664.8378532,-14.99,0.52,0.88,0.114,0.158,9.799,0.0,0.0,0.0
1777317664.8478744,-14.99,0.53,0.88,0.105,0.162,9.792,-0.01,0.0,0.0
1777317664.857858,-14.99,0.53,0.88,0.089,0.168,9.793,0.0,0.0,-0.01
1777317664.8678324,-14.98,0.52,0.88,0.084,0.159,9.778,-0.01,0.0,-0.01
1777317664.8778877,-14.97,0.52,0.88,0.078,0.137,9.776,0.0,0.0,-0.01
1777317664.887871,-14.97,0.52,0.88,0.077,0.127,9.774,-0.01,-0.01,-0.01
1777317664.8978992,-14.97,0.52,0.88,0.084,0.113,9.774,-0.01,-0.01,-0.01
1777317664.90785,-14.97,0.52,0.88,0.085,0.126,9.782,0.0,-0.01,0.0
1777317664.9178617,-14.98,0.52,0.88,0.098,0.137,9.776,-0.01,-0.01,0.0
1777317664.9278562,-14.99,0.53,0.88,0.092,0.157,9.785,0.0,-0.01,0.0
1777317664.9378414,-14.99,0.53,0.88,0.099,0.169,9.79,-0.01,-0.01,0.0
1777317664.9478843,-14.99,0.53,0.88,0.103,0.175,9.788,-0.01,0.0,0.0
1777317664.9578354,-14.99,0.53,0.88,0.096,0.184,9.791,0.0,0.0,-0.01
1777317664.9678323,-14.98,0.53,0.89,0.095,0.17,9.794,-0.01,0.0,-0.01
1777317664.977873,-14.97,0.53,0.88,0.089,0.15,9.799,0.0,0.0,-0.01
1777317664.9878795,-14.97,0.53,0.88,0.084,0.138,9.796,-0.01,0.0,-0.01
1777317664.998178,-14.98,0.52,0.88,0.078,0.128,9.796,-0.01,0.0,-0.01
1777317665.0078325,-14.98,0.52,0.88,0.074,0.123,9.787,0.0,-0.01,0.0
1777317665.0178418,-14.99,0.52,0.88,0.074,0.128,9.785,-0.01,-0.01,0.0
1777317665.0278294,-14.99,0.52,0.88,0.074,0.135,9.787,-0.01,-0.01,0.0
1777317665.037872,-15.0,0.52,0.88,0.077,0.151,9.792,0.0,-0.01,0.0
1777317665.0478292,-15.0,0.53,0.88,0.081,0.171,9.797,0.0,-0.01,0.0
