timestamp,action_type,parameter
1776535590.8314857,SYSTEM_START,0
1776535766.5013347,TURN_LEFT,15
1776535770.7404997,TURN_RIGHT,15
1776535774.9879634,FORWARD,30
1776535779.244058,TURN_LEFT,15
1776535783.4973123,FORWARD,30
1776535787.7558775,FORWARD,30
1776535791.9945576,TURN_LEFT,15
1776535796.2575138,TURN_LEFT,15
1776535800.5248015,TURN_RIGHT,15
1776535804.7841904,FORWARD,30
1776535809.0211995,FORWARD,30
1776535813.283166,FORWARD,30
1776535817.5355563,TURN_LEFT,15
1776535821.7774951,FORWARD,30
1776535826.0258162,TURN_LEFT,15
1776535830.2714229,TURN_LEFT,15
1776535834.5227344,FORWARD,30
1776535838.7671607,TURN_RIGHT,15
1776535843.0168614,FORWARD,30
1776535847.2555344,FORWARD,30
1776535851.4952095,FORWARD,30
1776535855.7283876,FORWARD,30
1776535859.981135,TURN_RIGHT,15
1776535864.2228377,FORWARD,15
1776535868.470974,FORWARD,15
1776535872.7225366,TURN_LEFT,15
1776535876.9804442,FORWARD,15
1776535881.2227576,TURN_RIGHT,15
1776535885.4533343,TURN_LEFT,15
1776535889.7197406,FORWARD,15
1776535893.9554894,FORWARD,15
1776535898.199976,BACKWARD,15
1776535902.460834,FORWARD,15
1776535906.7195666,BACKWARD,15
1776535910.9805727,FORWARD,15
1776535915.2318654,GRAB,0
1776535939.2186425,TURN_LEFT,15
1776535943.457941,FORWARD,15
1776535947.6938698,TURN_RIGHT,15
1776535951.9342391,TURN_LEFT,15
1776535956.1723483,FORWARD,15
1776535960.4219894,FORWARD,15
1776535964.9415345,FORWARD,15
1776535971.2037346,BACKWARD,15
1776535975.4464579,TURN_LEFT,15
1776535979.6878626,TURN_RIGHT,15
1776535983.9391842,TURN_LEFT,15
1776535988.1848476,FORWARD,15
1776535992.429661,TURN_RIGHT,15
1776535996.6915293,TURN_LEFT,15
1776536000.9387298,GRAB,0
1776536024.9189012,FORWARD,15
1776536029.1833642,FORWARD,15
1776536035.4498734,BACKWARD,15
1776536039.6981068,GRAB,0
1776536063.692211,FORWARD,15
1776536067.9270885,BACKWARD,15
1776536072.1736555,GRAB,0
1776536096.1783905,BACKWARD,15
1776536100.432164,BACKWARD,15
1776536105.4883976,BACKWARD,15
1776536111.0168893,BACKWARD,15
1776536115.5165696,BACKWARD,15
1776536120.0341802,BACKWARD,15
1776536126.3109899,BACKWARD,15
1776536156.1824496,SYSTEM_STOP,0
