timestamp,action_type,parameter
1777319071.6518679,SYSTEM_START,0
1777319106.495372,FORWARD,30
1777319110.7415848,TURN_LEFT,15
1777319114.9759727,FORWARD,30
1777319119.22734,TURN_LEFT,15
1777319123.4804127,FORWARD,30
1777319127.6921928,TURN_LEFT,15
1777319131.925173,TURN_LEFT,15
1777319136.1644094,TURN_LEFT,15
1777319140.3934402,TURN_LEFT,15
1777319144.6284852,TURN_LEFT,15
1777319148.8607569,TURN_LEFT,15
1777319153.0948586,TURN_LEFT,15
1777319157.3440926,TURN_LEFT,15
1777319161.5709743,TURN_LEFT,15
1777319165.6023095,SYSTEM_STOP,0
