timestamp,action_type,parameter
1777734841.6452804,SYSTEM_START,0
1777734860.469969,FORWARD,30
1777734864.6560347,FORWARD,30
1777734868.8562334,FORWARD,30
1777734873.0683296,FORWARD,30
1777734877.274078,TURN_LEFT,15
1777734881.4749117,FORWARD,30
1777734885.6814718,FORWARD,30
1777734889.8724222,FORWARD,30
1777734894.0703893,FORWARD,30
1777734898.2864199,FORWARD,30
1777734902.476188,FORWARD,30
1777734906.6812007,FORWARD,30
1777734910.869269,FORWARD,30
1777734915.0560596,FORWARD,30
1777734919.244681,FORWARD,30
1777734923.4463415,FORWARD,30
1777734927.6610103,FORWARD,30
1777734931.852235,FORWARD,30
1777734936.0459056,FORWARD,30
1777734940.25361,FORWARD,30
1777734944.457898,FORWARD,30
1777734948.6637356,FORWARD,30
1777734952.8656664,FORWARD,30
1777734957.0560956,FORWARD,30
1777734961.2969298,FORWARD,30
1777734965.6672857,FORWARD,30
1777734969.9073822,FORWARD,30
1777734974.1669645,FORWARD,30
1777734979.3186178,FORWARD,30
1777734983.5705729,FORWARD,30
1777734987.8082447,TURN_LEFT,15
1777734992.419782,FORWARD,30
1777734996.6553655,FORWARD,30
1777735000.8771043,FORWARD,15
1777735006.9260776,TURN_RIGHT,30
1777735011.1744242,TURN_RIGHT,15
1777735015.4256425,TURN_RIGHT,30
1777735019.6751099,TURN_RIGHT,30
1777735023.9159126,FORWARD,30
1777735028.155664,FORWARD,30
1777735032.4133008,FORWARD,30
1777735036.644236,FORWARD,30
1777735040.8841932,FORWARD,30
1777735045.113778,FORWARD,30
1777735049.3548949,TURN_LEFT,15
1777735053.601965,FORWARD,30
1777735057.8497977,FORWARD,30
1777735062.0921502,TURN_RIGHT,15
1777735066.3496423,FORWARD,30
1777735070.5976765,FORWARD,30
1777735074.84504,TURN_LEFT,15
1777735079.0982606,FORWARD,30
1777735083.3403556,FORWARD,30
1777735087.5737243,TURN_RIGHT,15
1777735091.8316085,FORWARD,30
1777735096.0779824,TURN_LEFT,15
1777735100.3071911,FORWARD,30
1777735104.5403166,FORWARD,30
1777735108.7683623,FORWARD,30
1777735113.0053592,FORWARD,30
1777735117.2706797,FORWARD,30
1777735121.5142121,FORWARD,30
1777735125.7525089,FORWARD,30
1777735129.9917965,FORWARD,30
1777735134.2262561,FORWARD,15
1777735138.4632974,FORWARD,15
1777735142.7199488,FORWARD,15
1777735146.9524074,FORWARD,15
1777735151.1841211,FORWARD,15
1777735155.4348462,FORWARD,15
1777735159.6606467,FORWARD,15
1777735163.8977315,FORWARD,15
1777735168.1289258,FORWARD,15
1777735172.3823137,FORWARD,15
1777735176.6103437,GRAB,0
1777735197.7840488,SYSTEM_STOP,0
