timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777318819.821612,-21.83,-0.01,0.83,-0.014,0.139,9.785,0.0,0.0,0.0
1777318819.8313615,-21.83,-0.01,0.83,0.005,0.123,9.774,-0.01,0.0,0.0
1777318819.8412178,-21.83,-0.0,0.83,0.0,0.117,9.784,0.0,-0.01,-0.01
1777318819.8512354,-21.83,-0.0,0.83,0.023,0.132,9.785,0.0,-0.01,0.0
1777318819.8612232,-21.83,-0.0,0.83,0.017,0.123,9.791,0.0,0.0,0.0
1777318819.8713644,-21.83,-0.0,0.83,0.025,0.156,9.788,0.0,-0.01,0.0
1777318819.8812222,-21.83,-0.0,0.83,0.018,0.163,9.786,-0.01,0.0,-0.01
1777318819.8911893,-21.82,-0.0,0.83,0.013,0.157,9.787,0.0,0.0,-0.01
1777318819.901193,-21.82,-0.0,0.83,0.004,0.156,9.782,-0.01,0.0,-0.01
1777318819.9111907,-21.82,-0.01,0.83,0.0,0.133,9.782,-0.01,-0.01,-0.01
1777318819.9211864,-21.82,-0.0,0.83,0.002,0.131,9.769,-0.01,0.0,0.0
1777318819.9312015,-21.83,-0.01,0.82,-0.008,0.123,9.78,-0.01,-0.01,0.0
1777318819.9411948,-21.83,-0.01,0.82,-0.004,0.126,9.776,-0.01,0.0,0.0
1777318819.9512036,-21.82,-0.0,0.83,-0.016,0.127,9.784,-0.01,-0.01,0.0
1777318819.961201,-21.82,-0.01,0.82,0.001,0.12,9.77,0.0,-0.01,-0.01
1777318819.971181,-21.82,-0.0,0.83,-0.002,0.115,9.775,0.0,0.0,-0.01
1777318819.9812033,-21.82,-0.01,0.82,-0.004,0.134,9.778,0.0,-0.01,-0.01
1777318819.9912016,-21.83,-0.0,0.83,0.004,0.141,9.768,-0.01,0.0,0.0
1777318820.0011923,-21.83,-0.0,0.83,-0.002,0.146,9.779,0.0,-0.01,0.0
1777318820.01118,-21.83,-0.0,0.83,0.004,0.169,9.784,-0.01,0.0,0.0
1777318820.0212088,-21.83,-0.0,0.83,-0.006,0.157,9.79,-0.01,-0.01,0.0
1777318820.0312095,-21.83,-0.0,0.83,0.01,0.152,9.766,0.0,0.0,-0.01
1777318820.041215,-21.83,-0.0,0.83,-0.001,0.134,9.77,-0.01,0.0,-0.01
1777318820.0512128,-21.82,-0.01,0.83,0.006,0.143,9.764,-0.01,-0.01,-0.01
1777318820.0612068,-21.82,-0.0,0.83,0.002,0.147,9.766,-0.01,0.0,-0.01
1777318820.071195,-21.82,-0.0,0.83,0.004,0.134,9.767,0.0,-0.01,-0.01
1777318820.0811834,-21.82,-0.0,0.83,0.0,0.147,9.762,-0.01,0.0,-0.01
1777318820.0911798,-21.82,-0.0,0.83,-0.002,0.119,9.769,0.0,-0.01,-0.01
1777318820.1011865,-21.82,-0.0,0.83,-0.001,0.133,9.767,0.0,-0.01,-0.01
1777318820.111218,-21.82,-0.01,0.82,-0.01,0.121,9.778,-0.01,0.0,0.0
1777318820.1212118,-21.83,-0.01,0.82,-0.006,0.131,9.779,-0.01,-0.01,0.0
1777318820.1311898,-21.83,-0.0,0.83,-0.006,0.133,9.784,0.0,0.0,0.0
1777318820.141176,-21.83,-0.0,0.83,0.004,0.138,9.773,0.0,-0.01,0.0
1777318820.1512017,-21.83,-0.0,0.83,0.002,0.14,9.782,0.0,-0.01,0.0
1777318820.161188,-21.83,-0.0,0.83,0.011,0.145,9.775,0.0,0.0,-0.01
