timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777316756.5864096,-1.96,-0.01,0.64,0.001,0.101,9.792,0.0,0.0,0.0
1777316756.5965881,-1.95,-0.01,0.64,-0.007,0.107,9.792,0.0,0.0,-0.01
1777316756.6063004,-1.96,-0.01,0.64,0.0,0.085,9.787,0.0,0.0,-0.01
1777316756.6162946,-1.96,-0.01,0.64,-0.006,0.102,9.793,-0.01,0.0,0.0
1777316756.626357,-1.97,-0.01,0.64,-0.006,0.108,9.797,-0.01,-0.01,0.0
1777316756.6364267,-1.97,-0.01,0.64,-0.011,0.119,9.799,-0.01,-0.01,0.0
1777316756.6464376,-1.97,-0.01,0.64,-0.008,0.132,9.798,-0.01,0.0,0.0
1777316756.6563377,-1.97,-0.01,0.64,0.0,0.125,9.792,-0.01,-0.01,0.0
1777316756.6664233,-1.97,-0.01,0.64,-0.023,0.125,9.796,-0.01,0.0,-0.01
1777316756.6764326,-1.97,-0.02,0.64,-0.047,0.109,9.785,0.0,-0.01,-0.01
1777316756.6863046,-1.97,-0.04,0.64,-0.121,0.128,9.739,-0.01,0.0,-0.01
1777316756.696344,-1.96,-0.09,0.66,-0.314,0.166,9.712,0.0,0.0,0.0
1777316756.7063336,-1.95,-0.18,0.7,-0.263,0.194,9.536,0.01,0.02,-0.01
1777316756.7164032,-1.92,-0.22,0.77,-0.184,0.143,9.535,0.02,0.03,-0.01
1777316756.7264307,-1.9,-0.22,0.81,-0.175,0.004,9.608,0.03,0.01,-0.02
1777316756.736311,-1.88,-0.2,0.79,-0.169,-0.077,9.662,0.02,-0.01,-0.02
1777316756.746326,-1.87,-0.15,0.75,-0.15,-0.025,9.701,-0.01,-0.02,-0.02
1777316756.7563083,-1.85,-0.11,0.74,-0.115,0.035,9.584,-0.02,-0.03,-0.01
1777316756.7663202,-1.85,-0.04,0.75,-0.038,0.074,9.454,-0.01,-0.03,-0.01
1777316756.7763197,-1.85,0.03,0.75,0.007,0.102,9.538,-0.01,-0.04,-0.01
1777316756.7863383,-1.85,0.08,0.75,0.051,0.109,9.61,0.0,-0.03,0.0
1777316756.7963228,-1.86,0.12,0.75,0.14,0.095,9.664,-0.01,-0.03,0.0
1777316756.8063242,-1.87,0.17,0.73,0.218,0.141,9.651,-0.01,-0.02,0.0
1777316756.816296,-1.87,0.19,0.73,0.279,0.199,9.648,-0.02,-0.02,0.0
1777316756.8263223,-1.85,0.21,0.74,0.305,0.181,9.669,-0.01,-0.01,-0.01
1777316756.836327,-1.85,0.22,0.73,0.296,0.134,9.706,-0.01,0.0,-0.01
1777316756.8462925,-1.83,0.21,0.72,0.241,0.107,9.733,-0.01,0.0,-0.01
1777316756.856357,-1.83,0.18,0.72,0.218,0.098,9.723,-0.01,0.01,-0.01
1777316756.86634,-1.82,0.16,0.7,0.151,0.053,9.676,-0.01,0.02,-0.01
1777316756.8763487,-1.82,0.13,0.7,0.083,0.044,9.678,-0.01,0.01,-0.01
1777316756.8863173,-1.83,0.1,0.7,0.005,0.001,9.713,0.0,0.01,0.0
1777316756.896346,-1.84,0.07,0.69,-0.059,-0.019,9.738,0.0,0.01,0.0
1777316756.9063263,-1.86,0.04,0.68,-0.114,-0.008,9.736,0.0,0.01,0.01
1777316756.916341,-1.87,0.03,0.68,-0.147,-0.011,9.678,-0.01,0.0,0.01
1777316756.9263432,-1.9,0.02,0.67,-0.165,0.014,9.657,0.0,0.0,0.01
1777316756.93631,-1.9,0.02,0.68,-0.184,0.048,9.697,0.0,-0.01,0.01
1777316756.9463446,-1.92,0.01,0.69,-0.17,0.055,9.727,0.0,-0.01,0.0
1777316756.9562926,-1.92,0.02,0.69,-0.131,0.097,9.732,0.0,-0.01,0.0
1777316756.966341,-1.91,0.03,0.7,-0.091,0.131,9.715,0.0,-0.01,0.0
1777316756.9763079,-1.9,0.05,0.71,-0.056,0.16,9.73,0.0,-0.02,-0.01
1777316756.98632,-1.88,0.06,0.71,-0.017,0.17,9.751,0.0,-0.01,-0.01
1777316756.9963722,-1.87,0.07,0.71,0.014,0.16,9.767,0.0,-0.01,-0.02
1777316757.006345,-1.85,0.08,0.71,0.041,0.164,9.778,-0.01,-0.01,-0.02
1777316757.0163186,-1.85,0.09,0.71,0.049,0.164,9.768,-0.01,-0.01,-0.01
1777316757.0263147,-1.84,0.09,0.71,0.053,0.14,9.766,-0.01,-0.01,-0.01
1777316757.0362918,-1.84,0.09,0.7,0.038,0.111,9.776,-0.01,0.0,-0.01
1777316757.0463145,-1.84,0.07,0.69,0.012,0.101,9.786,-0.01,0.0,0.0
1777316757.056413,-1.85,0.07,0.68,0.006,0.056,9.769,-0.01,0.0,0.0
1777316757.0664608,-1.85,0.05,0.67,-0.013,0.059,9.754,-0.01,0.0,0.0
1777316757.0764194,-1.86,0.05,0.67,-0.036,0.049,9.755,-0.01,0.0,0.0
1777316757.08648,-1.87,0.04,0.66,-0.063,0.04,9.769,0.0,0.0,0.0
1777316757.0964215,-1.87,0.02,0.66,-0.08,0.034,9.773,-0.01,0.0,0.0
1777316757.106268,-1.87,0.02,0.66,-0.085,0.028,9.757,0.0,0.0,-0.01
1777316757.1163158,-1.87,0.02,0.66,-0.08,0.037,9.741,0.0,-0.01,-0.01
1777316757.1262794,-1.87,0.03,0.66,-0.084,0.06,9.756,0.0,-0.01,0.0
1777316757.1354594,-1.87,0.02,0.66,-0.071,0.074,9.77,0.0,-0.01,0.0
1777316757.1463206,-1.87,0.03,0.66,-0.063,0.093,9.775,-0.01,-0.01,-0.01
1777316757.1563034,-1.86,0.04,0.66,-0.035,0.109,9.757,0.0,-0.01,-0.01
1777316757.1662817,-1.86,0.05,0.67,-0.012,0.115,9.759,0.0,-0.01,-0.01
1777316757.1762686,-1.85,0.05,0.67,0.011,0.123,9.772,0.0,-0.01,-0.01
1777316757.1855812,-1.85,0.06,0.66,0.04,0.151,9.782,-0.01,0.0,-0.01
1777316757.1962926,-1.85,0.06,0.67,0.047,0.18,9.787,-0.01,0.0,0.0
1777316757.2054994,-1.85,0.05,0.67,0.055,0.193,9.785,-0.01,0.0,0.0
1777316757.2163055,-1.86,0.05,0.67,0.068,0.196,9.788,-0.01,0.0,-0.01
1777316757.226424,-1.86,0.04,0.66,0.034,0.169,9.794,-0.01,0.0,0.0
1777316757.2354598,-1.87,0.02,0.65,0.035,0.164,9.786,-0.01,0.01,0.0
1777316757.2464507,-1.87,0.0,0.64,-0.01,0.117,9.778,-0.01,0.01,0.0
1777316757.2562807,-1.88,-0.02,0.63,-0.028,0.099,9.76,-0.01,0.0,0.0
1777316757.2654765,-1.89,-0.02,0.62,-0.044,0.042,9.753,-0.01,0.0,0.0
1777316757.2764213,-1.9,-0.03,0.6,-0.075,0.016,9.757,-0.01,0.0,0.0
1777316757.2854576,-1.92,-0.05,0.59,-0.079,0.004,9.75,-0.01,0.0,0.01
1777316757.295447,-1.93,-0.05,0.58,-0.078,0.022,9.737,-0.01,0.0,0.01
1777316757.3064055,-1.94,-0.05,0.59,-0.08,0.026,9.742,0.0,-0.01,0.0
1777316757.315419,-1.94,-0.04,0.59,-0.059,0.041,9.757,0.0,-0.01,0.0
1777316757.3254297,-1.93,-0.04,0.59,-0.054,0.071,9.772,0.0,-0.01,-0.01
1777316757.336417,-1.92,-0.03,0.6,-0.028,0.089,9.773,0.0,-0.01,-0.01
1777316757.3454537,-1.9,-0.02,0.61,-0.014,0.105,9.782,0.0,-0.01,-0.01
1777316757.355446,-1.89,-0.02,0.62,0.002,0.113,9.791,0.0,-0.01,-0.02
