timestamp,action_type,parameter
1777317180.134663,SYSTEM_START,0
1777317195.1948638,FORWARD,30
1777317199.432239,TURN_LEFT,15
1777317203.6956956,FORWARD,30
1777317207.9476073,TURN_LEFT,15
1777317213.227185,FORWARD,30
1777317218.0074959,FORWARD,30
1777317222.2605534,TURN_LEFT,15
1777317226.5117788,FORWARD,30
1777317230.764031,FORWARD,30
1777317237.3007865,FORWARD,30
1777317246.3263345,FORWARD,30
1777317250.5706673,FORWARD,30
1777317256.1594896,FORWARD,30
1777317260.3892965,FORWARD,30
1777317264.6370242,FORWARD,30
1777317270.9035866,FORWARD,30
1777317280.1872256,FORWARD,30
1777317284.4082193,FORWARD,30
1777317288.665978,TURN_RIGHT,15
1777317292.9039946,TURN_LEFT,15
1777317297.1546824,FORWARD,30
1777317301.3791642,FORWARD,30
1777317305.8950884,FORWARD,30
1777317310.1422446,FORWARD,30
1777317314.374538,FORWARD,30
1777317318.6120212,FORWARD,30
1777317322.8649392,FORWARD,30
1777317327.0860589,FORWARD,30
1777317331.3167048,FORWARD,30
1777317335.5529172,FORWARD,30
1777317339.8057616,FORWARD,30
1777317344.0327256,FORWARD,30
1777317348.2714365,FORWARD,30
1777317352.509793,FORWARD,30
1777317356.7345157,FORWARD,30
1777317360.9679182,FORWARD,30
1777317365.2066183,FORWARD,30
1777317369.4229655,FORWARD,30
1777317373.6556594,FORWARD,30
1777317377.90672,FORWARD,30
1777317382.1301997,FORWARD,30
1777317386.3556578,FORWARD,30
1777317390.5955436,FORWARD,30
1777317394.820815,FORWARD,30
1777317399.0607016,FORWARD,30
1777317403.2855287,FORWARD,30
1777317407.533487,FORWARD,30
1777317411.7723727,FORWARD,30
1777317416.0199084,FORWARD,30
1777317420.2732599,FORWARD,30
1777317424.5160782,FORWARD,30
1777317428.750306,FORWARD,30
1777317432.9821541,FORWARD,30
1777317437.2065337,FORWARD,30
