timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777734841.6594517,-5.33,-0.12,-1.3,-0.025,-0.22,9.811,-0.01,0.0,0.0
1777734841.6694932,-5.33,-0.12,-1.3,-0.023,-0.231,9.811,0.0,-0.01,0.0
1777734841.6794443,-5.33,-0.12,-1.3,-0.019,-0.225,9.811,-0.01,0.0,0.0
1777734841.6894302,-5.33,-0.12,-1.3,-0.023,-0.229,9.811,0.0,0.0,0.0
1777734841.6994536,-5.33,-0.12,-1.3,-0.024,-0.23,9.811,0.0,0.0,0.0
1777734841.7094321,-5.33,-0.12,-1.3,-0.026,-0.225,9.811,0.0,0.0,-0.01
1777734841.7194262,-5.33,-0.12,-1.3,-0.03,-0.216,9.811,0.0,-0.01,0.0
1777734841.7294512,-5.33,-0.13,-1.3,-0.085,-0.22,9.811,0.0,-0.01,0.0
1777734841.7394538,-5.33,-0.14,-1.3,-0.128,-0.228,9.811,0.0,0.0,-0.01
1777734841.7494318,-5.33,-0.14,-1.31,-0.171,-0.231,9.811,-0.01,0.0,0.0
1777734841.7594337,-5.35,-0.15,-1.31,-0.21,-0.216,9.811,-0.01,-0.01,0.0
1777734841.7694397,-5.35,-0.15,-1.31,-0.181,-0.213,9.811,-0.01,-0.01,0.0
1777734841.7794466,-5.34,-0.14,-1.32,-0.137,-0.207,9.811,-0.01,-0.01,0.0
1777734841.7894437,-5.33,-0.16,-1.33,-0.224,-0.365,9.811,-0.01,-0.01,-0.01
1777734841.7994678,-5.33,-0.15,-1.39,-0.115,-0.366,9.811,-0.01,0.0,-0.02
1777734841.8094606,-5.34,-0.14,-1.39,-0.091,-0.329,9.812,-0.02,-0.01,0.0
1777734841.8194652,-5.36,-0.11,-1.39,-0.059,-0.263,9.812,0.0,-0.02,0.01
1777734841.8294647,-5.37,-0.08,-1.36,-0.011,-0.251,9.812,0.01,-0.02,0.01
1777734841.8394628,-5.36,-0.06,-1.37,0.018,-0.126,9.812,0.0,-0.02,0.0
1777734841.849465,-5.33,-0.03,-1.34,0.061,-0.062,9.811,-0.01,-0.02,-0.02
1777734841.859471,-5.3,-0.02,-1.33,0.087,-0.086,9.811,0.0,-0.01,-0.02
1777734841.8694446,-5.28,-0.01,-1.32,0.103,-0.138,9.811,0.0,-0.01,-0.02
1777734841.8794546,-5.29,0.01,-1.33,0.122,-0.15,9.811,0.0,-0.01,-0.01
1777734841.8894315,-5.3,0.01,-1.33,0.14,-0.128,9.811,-0.01,0.0,0.0
1777734841.8994899,-5.32,0.01,-1.32,0.131,-0.099,9.811,-0.01,0.0,0.01
1777734841.9094315,-5.32,0.0,-1.31,0.09,-0.125,9.811,0.0,0.0,0.0
1777734841.9194326,-5.32,-0.01,-1.31,0.017,-0.164,9.811,0.0,0.0,-0.01
1777734841.9294884,-5.31,-0.03,-1.32,-0.053,-0.234,9.811,-0.01,0.0,-0.01
1777734841.9394917,-5.31,-0.05,-1.33,-0.125,-0.274,9.811,0.0,0.0,-0.01
1777734841.9494543,-5.32,-0.06,-1.33,-0.16,-0.284,9.811,-0.01,0.0,0.0
1777734841.9594512,-5.32,-0.06,-1.33,-0.17,-0.262,9.811,0.0,-0.01,0.0
1777734841.969477,-5.33,-0.06,-1.32,-0.15,-0.232,9.811,0.0,-0.01,0.0
1777734841.9794686,-5.32,-0.06,-1.32,-0.099,-0.198,9.811,0.0,-0.01,0.0
1777734841.989465,-5.32,-0.05,-1.32,-0.041,-0.175,9.811,-0.01,-0.01,-0.01
1777734841.9994638,-5.3,-0.04,-1.31,0.013,-0.163,9.811,-0.01,-0.01,-0.01
1777734842.009462,-5.3,-0.03,-1.31,0.041,-0.186,9.811,0.0,-0.01,-0.01
1777734842.0194936,-5.31,-0.03,-1.31,0.043,-0.201,9.811,0.0,0.0,0.0
1777734842.0294726,-5.32,-0.03,-1.31,0.03,-0.208,9.811,-0.01,0.0,0.0
1777734842.0394638,-5.33,-0.04,-1.31,-0.001,-0.212,9.811,-0.01,0.0,0.0
1777734842.049473,-5.33,-0.05,-1.31,-0.04,-0.202,9.811,0.0,0.0,0.0
1777734842.0594695,-5.32,-0.06,-1.31,-0.085,-0.214,9.811,0.0,0.0,-0.01
1777734842.0686378,-5.32,-0.07,-1.3,-0.131,-0.243,9.811,0.0,0.0,-0.01
1777734842.078608,-5.32,-0.07,-1.3,-0.189,-0.286,9.811,0.0,-0.01,-0.01
1777734842.0894678,-5.32,-0.07,-1.31,-0.204,-0.31,9.811,0.0,-0.01,-0.01
1777734842.099474,-5.32,-0.07,-1.31,-0.188,-0.286,9.811,0.0,-0.01,0.0
1777734842.1086137,-5.32,-0.06,-1.3,-0.122,-0.238,9.811,0.0,-0.01,0.0
1777734842.1186168,-5.31,-0.05,-1.29,-0.051,-0.19,9.811,0.0,-0.01,-0.01
1777734842.1286154,-5.3,-0.02,-1.29,0.013,-0.14,9.811,-0.01,-0.01,-0.01
1777734842.1386182,-5.3,-0.02,-1.27,0.065,-0.134,9.811,-0.01,-0.01,-0.01
1777734842.149472,-5.3,-0.01,-1.27,0.081,-0.147,9.811,0.0,-0.01,-0.01
1777734842.1586373,-5.3,-0.01,-1.27,0.079,-0.163,9.811,-0.01,0.0,0.0
1777734842.1697595,-5.31,-0.02,-1.27,0.041,-0.184,9.811,0.0,0.0,0.0
1777734842.1786392,-5.32,-0.03,-1.27,-0.006,-0.212,9.811,0.0,0.0,0.0
1777734842.188643,-5.32,-0.05,-1.28,-0.068,-0.224,9.811,-0.01,0.0,0.0
1777734842.1986525,-5.32,-0.06,-1.28,-0.122,-0.245,9.811,0.0,0.0,0.0
1777734842.2086484,-5.31,-0.07,-1.29,-0.154,-0.263,9.811,0.0,0.0,-0.01
1777734842.2186332,-5.31,-0.07,-1.29,-0.166,-0.271,9.811,0.0,-0.01,-0.01
1777734842.2286322,-5.31,-0.07,-1.29,-0.134,-0.255,9.811,-0.01,-0.01,-0.01
1777734842.2386334,-5.31,-0.07,-1.29,-0.092,-0.218,9.811,0.0,-0.01,0.0
1777734842.248587,-5.31,-0.06,-1.28,-0.04,-0.206,9.811,0.0,-0.01,0.0
1777734842.25861,-5.31,-0.05,-1.28,0.011,-0.192,9.811,-0.01,-0.01,-0.01
1777734842.268602,-5.3,-0.05,-1.28,0.034,-0.184,9.811,-0.01,0.0,-0.01
1777734842.2786455,-5.3,-0.05,-1.28,0.04,-0.194,9.811,-0.01,0.0,-0.01
1777734842.2886336,-5.31,-0.05,-1.28,0.008,-0.205,9.811,-0.01,0.0,0.0
1777734842.2986345,-5.31,-0.06,-1.28,-0.036,-0.22,9.811,0.0,0.0,0.0
1777734842.3086224,-5.32,-0.07,-1.28,-0.078,-0.232,9.811,0.0,0.0,0.0
1777734842.3186066,-5.32,-0.09,-1.28,-0.113,-0.234,9.811,-0.01,0.0,0.0
1777734842.3286452,-5.32,-0.09,-1.28,-0.132,-0.231,9.811,0.0,0.0,0.0
1777734842.3386314,-5.31,-0.09,-1.28,-0.135,-0.232,9.811,0.0,-0.01,-0.01
1777734842.3486297,-5.31,-0.09,-1.28,-0.11,-0.232,9.811,0.0,-0.01,-0.01
1777734842.3586037,-5.31,-0.09,-1.28,-0.077,-0.231,9.811,-0.01,-0.01,-0.01
1777734842.36862,-5.31,-0.08,-1.28,-0.028,-0.219,9.811,-0.01,-0.01,-0.01
1777734842.378612,-5.31,-0.07,-1.28,-0.001,-0.216,9.811,0.0,-0.01,0.0
