timestamp,action_type,parameter
1777319771.820329,SYSTEM_START,0
1777319786.7719717,BACKWARD,15
1777319799.510516,TURN_LEFT,15
1777319803.7566078,FORWARD,30
1777319807.9896665,FORWARD,30
1777319812.238393,FORWARD,30
1777319816.497911,FORWARD,30
1777319832.632619,FORWARD,30
1777319836.8735852,TURN_RIGHT,15
1777319841.1071687,TURN_LEFT,15
1777319845.3540952,FORWARD,30
1777319849.5830302,TURN_LEFT,15
1777319853.830291,FORWARD,30
1777319858.0707483,FORWARD,30
1777319862.315628,FORWARD,30
1777319866.5562608,FORWARD,30
1777319870.8059719,FORWARD,30
1777319875.0420747,FORWARD,30
1777319879.2927644,TURN_LEFT,15
1777319883.5471241,FORWARD,30
1777319887.7727716,FORWARD,30
1777319892.0204504,FORWARD,30
1777319896.2744997,FORWARD,15
1777319900.5244164,FORWARD,15
1777319904.7571921,TURN_LEFT,15
1777319909.0183318,FORWARD,15
1777319913.2589667,FORWARD,15
1777319917.5117383,FORWARD,15
1777319921.7550273,TURN_LEFT,15
1777319925.9886742,GRAB,0
1777319973.8228264,TURN_LEFT,30
1777319979.8569262,TURN_LEFT,30
1777319984.0877798,TURN_LEFT,30
1777319988.3381586,TURN_LEFT,30
1777319993.109567,TURN_LEFT,30
1777319997.352784,TURN_LEFT,15
1777320001.5984251,FORWARD,30
1777320005.849843,TURN_LEFT,15
1777320010.108299,FORWARD,30
1777320014.3569489,TURN_LEFT,15
1777320018.6051965,FORWARD,30
1777320022.859478,FORWARD,30
1777320027.0984178,TURN_LEFT,15
1777320031.3319154,FORWARD,30
1777320035.5805924,TURN_LEFT,15
1777320039.819944,TURN_RIGHT,15
1777320044.0626354,TURN_LEFT,15
1777320048.310625,FORWARD,30
1777320052.5420928,TURN_LEFT,15
1777320056.799269,FORWARD,15
1777320061.0316336,FORWARD,15
1777320065.2835546,FORWARD,15
1777320069.5235863,FORWARD,15
1777320073.778489,FORWARD,15
1777320078.0162368,GRAB,0
1777320099.396787,SYSTEM_STOP,0
