timestamp,action_type,parameter
1777316756.582195,SYSTEM_START,0
1777316781.1560311,TURN_RIGHT,15
1777316799.1017714,TURN_LEFT,15
1777316803.8885152,TURN_LEFT,15
1777316822.884055,FORWARD,30
1777316827.1170688,FORWARD,30
1777316831.368245,FORWARD,30
1777316835.6002135,FORWARD,30
1777316839.8362746,TURN_RIGHT,15
1777316844.0853486,FORWARD,30
1777316848.3284454,TURN_LEFT,15
1777316852.5651162,FORWARD,30
1777316856.7960544,FORWARD,30
1777316861.0451152,TURN_LEFT,15
1777316865.2915802,FORWARD,30
1777316869.5177078,FORWARD,30
1777316873.7681332,FORWARD,30
1777316878.017298,TURN_LEFT,15
1777316882.266926,FORWARD,30
1777316886.5226324,TURN_LEFT,15
1777316890.7664797,FORWARD,30
1777316895.0153909,FORWARD,30
1777316899.2406723,FORWARD,30
1777316903.4743047,FORWARD,30
1777316907.675071,FORWARD,30
1777316911.8961647,FORWARD,30
1777316916.1431444,FORWARD,30
1777316920.385653,FORWARD,30
1777316925.1318123,FORWARD,30
1777316929.370534,FORWARD,30
1777316933.61673,FORWARD,30
1777316937.8668659,FORWARD,15
1777316942.121468,FORWARD,15
1777316946.3645213,FORWARD,15
1777316950.5919924,FORWARD,15
1777316954.8328516,FORWARD,15
1777316959.0825942,GRAB,0
1777316980.496677,GRAB,0
1777317001.8609529,SYSTEM_STOP,0
