timestamp,action_type,parameter
1776536842.6743112,SYSTEM_START,0
1776536887.06543,FORWARD,30
1776536891.3047817,TURN_LEFT,30
1776536895.5608459,FORWARD,30
1776536899.808476,FORWARD,30
1776536904.0649996,FORWARD,30
1776536908.3272002,TURN_RIGHT,15
1776536912.581634,TURN_RIGHT,15
1776536916.8243897,TURN_LEFT,15
1776536921.0694153,FORWARD,30
1776536925.3049183,FORWARD,30
1776536929.5429542,TURN_LEFT,15
1776536933.7856638,FORWARD,30
1776536938.0302649,FORWARD,30
1776536942.271053,TURN_RIGHT,15
1776536946.5239468,FORWARD,30
1776536950.7668314,FORWARD,15
1776536954.9999752,FORWARD,15
1776536959.237886,FORWARD,15
1776536963.4858232,TURN_LEFT,15
1776536967.732773,TURN_RIGHT,15
1776536971.9858654,BACKWARD,15
1776536976.2226758,FORWARD,15
1776536980.465598,GRAB,0
1776537004.4686031,TURN_LEFT,15
1776537008.7179801,FORWARD,30
1776537012.962058,FORWARD,30
1776537017.214555,TURN_LEFT,15
1776537021.450247,TURN_RIGHT,15
1776537025.6955733,FORWARD,30
1776537029.943329,TURN_LEFT,15
1776537034.19456,FORWARD,30
1776537038.4302356,FORWARD,30
1776537042.6791096,FORWARD,15
1776537046.9361675,FORWARD,15
1776537051.1783903,FORWARD,15
1776537055.4262288,FORWARD,15
1776537059.6814003,FORWARD,15
1776537063.920225,TURN_LEFT,15
1776537068.1706991,TURN_RIGHT,15
1776537072.4197383,TURN_LEFT,15
1776537076.666693,BACKWARD,15
1776537080.912442,TURN_RIGHT,15
1776537085.167076,TURN_LEFT,15
1776537089.4005988,GRAB,0
1776537113.3236132,FORWARD,30
1776537117.5711741,FORWARD,30
1776537121.8100238,FORWARD,15
1776537126.0596552,FORWARD,30
1776537130.2871265,TURN_RIGHT,15
1776537134.5491858,TURN_LEFT,30
1776537138.8083065,TURN_RIGHT,15
1776537143.0725648,FORWARD,15
1776537147.3304558,TURN_LEFT,15
1776537151.5707884,FORWARD,15
1776537155.8169308,FORWARD,15
1776537160.0495903,BACKWARD,15
1776537164.288087,TURN_RIGHT,15
1776537168.5364692,TURN_LEFT,15
1776537172.775871,FORWARD,15
1776537177.0083706,GRAB,0
1776537200.8916643,FORWARD,30
1776537205.1452067,TURN_LEFT,15
1776537209.4045753,TURN_LEFT,15
1776537213.6597478,FORWARD,15
1776537217.8933048,TURN_RIGHT,15
1776537222.1505342,TURN_LEFT,15
1776537226.408504,FORWARD,15
1776537230.6522276,TURN_LEFT,15
1776537234.9160323,TURN_RIGHT,15
1776537239.1544418,TURN_LEFT,15
1776537243.407241,FORWARD,15
1776537247.641029,GRAB,0
1776537271.669086,TURN_RIGHT,30
1776537275.929713,TURN_LEFT,15
1776537280.1692193,FORWARD,30
1776537284.4252293,FORWARD,30
1776537288.680137,TURN_LEFT,15
