timestamp,action_type,parameter
1777734486.6356955,SYSTEM_START,0
1777734502.685429,FORWARD,30
1777734506.8937666,FORWARD,30
1777734511.1073477,FORWARD,30
1777734515.3186007,FORWARD,30
1777734519.5303292,TURN_RIGHT,15
1777734523.7413785,TURN_LEFT,15
1777734527.9573534,FORWARD,30
1777734532.162661,FORWARD,30
1777734536.3753116,FORWARD,30
1777734540.586953,FORWARD,30
1777734544.8151276,FORWARD,30
1777734549.0178833,FORWARD,30
1777734553.2248144,FORWARD,30
1777734557.4230516,FORWARD,30
1777734561.6445038,FORWARD,30
1777734565.8643143,FORWARD,30
1777734570.0787702,FORWARD,30
1777734574.2897158,FORWARD,30
1777734578.4931054,FORWARD,30
1777734582.702682,TURN_LEFT,15
1777734586.9095733,FORWARD,30
1777734591.1093333,FORWARD,30
1777734595.3094063,FORWARD,30
1777734599.5177782,FORWARD,30
1777734603.719502,FORWARD,30
1777734607.9278793,FORWARD,30
1777734612.1346412,FORWARD,30
1777734616.3666053,TURN_LEFT,15
1777734620.579485,FORWARD,30
1777734624.7863276,FORWARD,30
1777734628.9997962,TURN_RIGHT,15
1777734633.217637,TURN_LEFT,15
1777734637.438202,FORWARD,30
1777734641.6461246,FORWARD,30
1777734645.8687577,TURN_LEFT,15
1777734650.077611,FORWARD,30
1777734654.2886128,FORWARD,15
1777734658.4953265,FORWARD,15
1777734662.7237508,FORWARD,15
1777734666.946386,FORWARD,15
1777734671.1446986,FORWARD,15
1777734675.3573885,GRAB,0
1777734696.6636224,SYSTEM_STOP,0
