timestamp,action_type,parameter
1777733339.904096,SYSTEM_START,0
1777733359.2239225,FORWARD,30
1777733363.469104,FORWARD,30
1777733370.1477108,FORWARD,30
1777733374.3456187,FORWARD,30
1777733378.5466034,FORWARD,30
1777733382.7643335,FORWARD,30
1777733386.9825096,FORWARD,30
1777733391.1926103,FORWARD,30
1777733395.926402,FORWARD,30
1777733400.1584795,FORWARD,30
1777733404.4090378,FORWARD,30
1777733408.6380126,FORWARD,30
1777733412.8408992,FORWARD,30
1777733417.0494616,TURN_RIGHT,15
1777733434.0703104,FORWARD,30
1777733438.3234708,TURN_LEFT,15
1777733446.61936,FORWARD,30
1777733450.8626492,FORWARD,30
1777733455.122447,FORWARD,30
1777733459.3520277,TURN_RIGHT,15
1777733463.5851731,FORWARD,30
1777733467.8061924,TURN_LEFT,15
1777733471.9978113,TURN_LEFT,15
1777733476.2458663,TURN_LEFT,15
1777733480.503042,TURN_LEFT,15
1777733484.7538693,TURN_LEFT,15
1777733488.9886508,TURN_LEFT,15
1777733493.2417789,TURN_LEFT,15
1777733497.4870615,TURN_LEFT,15
1777733501.7141783,TURN_LEFT,15
1777733505.9599895,TURN_LEFT,15
1777733510.1887434,TURN_LEFT,15
1777733514.4369357,TURN_LEFT,15
1777733518.4716496,SYSTEM_STOP,0
