timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777316574.6754744,-0.1,0.34,0.73,0.057,0.121,9.743,-0.01,0.0,0.0
1777316574.686052,-0.1,0.34,0.73,0.057,0.125,9.735,-0.01,0.0,-0.01
1777316574.695591,-0.1,0.34,0.73,0.056,0.121,9.745,0.0,-0.01,-0.01
1777316574.7055607,-0.1,0.34,0.73,0.054,0.125,9.754,-0.01,0.0,-0.01
1777316574.7155988,-0.1,0.34,0.73,0.047,0.122,9.757,-0.01,-0.01,-0.01
1777316574.7254736,-0.1,0.34,0.73,0.055,0.117,9.751,0.0,0.0,0.0
1777316574.7354617,-0.1,0.34,0.73,0.059,0.125,9.75,0.0,0.0,-0.01
1777316574.7454588,-0.1,0.34,0.73,0.062,0.123,9.757,-0.01,-0.01,0.0
1777316574.755461,-0.1,0.34,0.73,0.062,0.125,9.756,0.0,0.0,-0.01
1777316574.7654712,-0.1,0.34,0.73,0.06,0.121,9.749,-0.01,0.0,0.0
1777316574.7755747,-0.1,0.34,0.73,0.061,0.12,9.742,0.0,0.0,-0.01
1777316574.7854764,-0.1,0.34,0.73,0.056,0.113,9.748,0.0,0.0,-0.01
1777316574.7958343,-0.1,0.34,0.72,0.055,0.123,9.748,-0.01,0.0,0.0
1777316574.805452,-0.1,0.34,0.73,0.059,0.131,9.753,-0.01,0.0,0.0
1777316574.8154542,-0.1,0.34,0.73,0.06,0.128,9.75,0.0,0.0,0.0
1777316574.8254359,-0.1,0.34,0.73,0.061,0.127,9.754,-0.01,0.0,-0.01
1777316574.8354506,-0.1,0.34,0.73,0.059,0.127,9.757,0.0,0.0,0.0
1777316574.8454306,-0.1,0.34,0.73,0.06,0.128,9.759,-0.01,-0.01,0.0
1777316574.8554587,-0.1,0.34,0.73,0.059,0.128,9.751,-0.01,0.0,-0.01
1777316574.8654568,-0.1,0.34,0.73,0.06,0.127,9.753,-0.01,0.0,0.0
1777316574.8754728,-0.1,0.34,0.73,0.051,0.125,9.754,0.0,0.0,0.0
1777316574.8854368,-0.1,0.33,0.73,0.047,0.127,9.757,0.0,0.0,0.0
1777316574.89546,-0.1,0.33,0.73,0.046,0.127,9.753,-0.01,0.0,0.0
1777316574.905433,-0.1,0.33,0.73,0.048,0.12,9.76,-0.01,-0.01,0.0
1777316574.915479,-0.1,0.33,0.73,0.047,0.116,9.754,-0.01,0.0,-0.01
1777316574.9254558,-0.1,0.33,0.73,0.048,0.114,9.756,0.0,-0.01,0.0
1777316574.935498,-0.1,0.33,0.72,0.057,0.113,9.755,-0.01,0.0,0.0
1777316574.9454472,-0.1,0.33,0.72,0.053,0.115,9.762,-0.01,0.0,0.0
1777316574.9554548,-0.1,0.33,0.72,0.05,0.121,9.759,-0.01,0.0,0.0
1777316574.965443,-0.1,0.33,0.72,0.054,0.12,9.754,0.0,-0.01,-0.01
1777316574.9754725,-0.1,0.33,0.72,0.049,0.115,9.756,0.0,0.0,-0.01
1777316574.9854448,-0.1,0.33,0.72,0.05,0.113,9.754,0.0,0.0,-0.01
1777316574.9954545,-0.1,0.33,0.72,0.049,0.109,9.755,-0.01,0.0,0.0
